,MAE,RMSE,R2,MAPE,Within_0.5,Within_1.0,Within_2.0
RandomForest,1.8578406784160186,2.567498909994469,0.630446278264797,9.813399893806372,21.767559586585108,38.54320466849469,64.85270336778457
XGBoost,1.7815440052883489,2.509114336894607,0.6470623834330882,9.37143797695585,24.16508472192927,40.9969767278352,67.784574281094
CatBoost,1.7454130815265643,2.454190698291085,0.6623446338685374,9.20405199681349,23.95415875694298,41.90395837727624,68.60718554454053
Ensemble,1.7813031776347572,2.4888082996142935,0.6527518526644707,9.403748291307163,23.166701820994167,40.71574210785347,67.48224706461366
